0,EISD840101,"[73.71294851794072, 75.19500780031201, 75.97503900156006, 75.97503900156006]",75.2145085803432
1,KIDA850101,"[74.49297971918877, 74.25897035881435, 75.50702028081123, 75.19500780031201]",74.86349453978158
2,GOLD730101,"[74.88299531981279, 75.27301092043682, 75.19500780031201, 75.19500780031201]",75.1365054602184
3,CASG920101,"[72.46489859594384, 75.19500780031201, 74.49297971918877, 74.9609984399376]",74.27847113884556
4,FASG890101,"[73.32293291731669, 74.88299531981279, 75.66302652106084, 75.66302652106084]",74.88299531981279
5,KYTJ820101,"[73.24492979719189, 73.24492979719189, 73.24492979719189, 73.24492979719189]",73.24492979719189
6,BLAS910101,"[74.49297971918877, 76.28705148205928, 73.63494539781591, 74.72698907956318]",74.78549141965678
7,L_hydrophobicity_scale,"[75.89703588143526, 76.13104524180967, 76.91107644305772, 76.91107644305772]",76.46255850234009
8,NADH010103,"[73.4009360374415, 74.57098283931357, 75.42901716068643, 74.9609984399376]",74.59048361934478
9,NADH010104,"[74.49297971918877, 74.9609984399376, 75.35101404056162, 75.35101404056162]",75.0390015600624
10,NADH010105,"[77.06708268330733, 77.37909516380655, 77.92511700468019, 77.92511700468019]",77.57410296411857
11,NADH010102,"[70.74882995319813, 75.27301092043682, 74.49297971918877, 74.49297971918877]",73.75195007800312
12,PRAM900101,"[75.58502340093604, 76.5210608424337, 76.5210608424337, 76.5210608424337]",76.28705148205928
13,JOND750101,"[74.80499219968799, 75.89703588143526, 76.83307332293292, 77.14508580343214]",76.17004680187208
14,ENGD860101,"[76.36505460218409, 76.75507020280811, 77.30109204368175, 76.91107644305772]",76.83307332293292
15,JURD980101,"[74.02496099843994, 72.46489859594384, 74.25897035881435, 74.64898595943838]",73.84945397815913
16,KUHL950101,"[73.24492979719189, 76.83307332293292, 76.91107644305772, 76.91107644305772]",75.97503900156006
17,WOLR790101,"[74.88299531981279, 76.05304212168487, 76.67706708268331, 75.66302652106084]",75.81903276131045
18,EISD860102,"[75.74102964118565, 75.74102964118565, 74.25897035881435, 74.25897035881435]",75.0
19,CIDH920105,"[74.33697347893916, 76.83307332293292, 76.83307332293292, 76.83307332293292]",76.20904836193448
20,ZIMJ680101,"[74.33697347893916, 75.81903276131045, 75.74102964118565, 75.74102964118565]",75.40951638065523
21,HOPT810101,"[76.05304212168487, 76.36505460218409, 76.36505460218409, 76.28705148205928]",76.26755070202807
22,ARGP820101,"[71.37285491419657, 75.11700468018721, 75.11700468018721, 75.11700468018721]",74.18096723868955
23,NADH010107,"[73.5569422776911, 74.33697347893916, 74.64898595943838, 74.33697347893916]",74.21996879875195
24,PONP930101,"[74.33697347893916, 75.89703588143526, 76.13104524180967, 75.58502340093604]",75.48751950078004
25,NADH010101,"[71.13884555382215, 75.27301092043682, 75.19500780031201, 75.19500780031201]",74.20046801872074
26,NADH010106,"[74.57098283931357, 74.57098283931357, 76.13104524180967, 75.27301092043682]",75.13650546021842
27,LEVM760101,"[74.88299531981279, 76.98907956318253, 77.37909516380655, 77.37909516380655]",76.6575663026521
